Campo,Formato,Ejemplo,Valor por defecto o respuesta,,,,,
Fecha*,dd/mm/aaaa,02/03/2022,Falla de validación,,,,,
Descripcion*,texto,Alquiler,Falla de validación,,,,,
Moneda,"[USD, ARS]",ARS,ARS,,,,,
Total*,decimal (0.00) sin signo $,58999.99,Falla de validación,,,,,
Tipo de transacción*,"[Gasto, Ingreso]",,Falla de validación,,,,,
Completado,Verdadero o Falso,Verdadero,Verdadero,,,,,
Categoría,texto,Viajes,Otros,,,,,
Etiquetas,texto separado por ; (punto y coma),"Vacaciones, Mar del Plata, Amigos del barrio",,,,,,
Notas,texto,Devolver a amigo,,,,,,
,,,,,,,,
Fecha *,Descripción *,Moneda,Total *,Tipo de transacción,Completado,Categoría,Etiquetas,Notas
06/01/2022,desc 1,ARS,804,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 1
20/08/2020,desc 2,ARS,144,Gasto,,Recreación,,nota 2
17/12/2022,desc 3,ARS,97,Gasto,Verdadero,Deporte,,nota 3
12/06/2021,desc 4,ARS,358,Ingreso,Verdadero,Vivienda,reparaciones,nota 4
15/09/2021,desc 5,USD,725,Gasto,Verdadero,Belleza,peluquero; manicura,nota 5
04/08/2021,desc 6,ARS,65,Gasto,Falso,Educación,universidad; postgrado,nota 6
14/03/2022,desc 7,ARS,815,Gasto,Verdadero,Vehículo,mecanico,nota 7
03/02/2020,desc 8,ARS,672,Gasto,Falso,Transporte,sube,nota 8
23/01/2021,desc 9,ARS,74,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 9
05/01/2021,desc 10,ARS,967,Gasto,Verdadero,Recreación,,nota 10
12/04/2020,desc 11,ARS,806,Ingreso,Falso,Deporte,,nota 11
11/03/2022,desc 12,ARS,543,Gasto,,Vivienda,reparaciones,nota 12
21/09/2021,desc 13,USD,443,Gasto,Verdadero,Belleza,peluquero; manicura,nota 13
14/10/2020,desc 14,ARS,211,Gasto,Falso,Educación,universidad; postgrado,nota 14
24/02/2021,desc 15,ARS,940,Gasto,Falso,Vehículo,mecanico,nota 15
12/12/2021,desc 16,ARS,54,Gasto,Verdadero,Transporte,sube,nota 16
23/11/2020,desc 17,ARS,402,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 17
15/04/2022,desc 18,USD,640,Ingreso,Verdadero,Recreación,,nota 18
02/01/2022,desc 19,ARS,168,Gasto,,Deporte,,nota 19
12/11/2021,desc 20,ARS,995,Gasto,Falso,Vivienda,reparaciones,nota 20
